id,name,category,description,energyRestore,healthRestore,buyValueInGems,sellValueInCoins,xpOnSell,yieldDurationInMins,xpOnHarvest,removeByCoins,slug,categoryId
49,Diamond,Mining,Mining minerals ,0,0,25,150,8,1,12,0,diamond,5
50,Quartz,Mining,Mining minerals ,0,0,25,150,8,1,12,0,quartz,5
51,Emerald,Mining,Mining minerals ,0,0,25,150,8,1,12,0,emerald,5
52,Sapphire,Mining,Mining minerals ,0,0,25,150,8,1,12,0,sapphire,5
53,Ruby,Mining,Mining minerals ,0,0,25,150,8,1,12,0,ruby,5
54,Amethyst,Mining,Mining minerals ,0,0,25,150,8,1,12,0,amethyst,5
55,Crystal,Mining,Mining minerals ,0,0,25,150,9,1,12,0,crystal,5
56,Fishbones,Suppliers,Trash material,0,0,1,1,0,1,0,0,fishbones,3
57,Empty Can,Suppliers,Trash material,0,0,1,1,0,1,0,0,emptycan,3
58,Blue Catfish,Fish,Fish material,6,2,10,70,10,1,12,0,bluecatfish,4
59,Bream,Fish,Fish material,6,2,10,70,10,1,12,0,bream,4
60,Brown Trout,Fish,Fish material,6,2,10,70,10,1,12,0,browntrout,4
61,Bighead Carp,Fish,Fish material,6,2,10,70,10,1,12,0,bigheadcarp,4
62,Crayfish,Fish,Fish material,6,2,10,70,10,1,12,0,crayfish,4
63,Creek Chub,Fish,Fish material,6,2,10,70,10,1,12,0,creekchub,4
64,Ghostfish,Fish,Fish material,6,2,10,70,10,1,12,0,ghostfish,4
65,Glowfish,Fish,Fish material,6,2,10,70,10,1,12,0,glowfish,4
66,Golden Trout,Fish,Fish material,6,2,10,70,10,1,12,0,goldentrout,4
67,Goldfish,Fish,Fish material,6,2,10,70,10,1,12,0,goldfish,4
68,Grass Carp,Fish,Fish material,6,2,10,70,10,1,12,0,grasscarp,4
69,Greenling,Fish,Fish material,6,2,10,70,10,1,12,0,greenling,4
70,Herring,Fish,Fish material,6,2,10,70,10,1,12,0,herring,4
71,Northern Pike,Fish,Fish material,6,2,10,70,10,1,12,0,northernpike,4
72,Perch,Fish,Fish material,6,2,10,70,10,1,12,0,perch,4
73,Rainbow Trout,Fish,Fish material,6,2,10,70,10,1,12,0,rainbowtrout,4
74,Red Snapper,Fish,Fish material,6,2,10,70,10,1,12,0,redsnapper,4
75,Roach,Fish,Fish material,6,2,10,70,10,1,12,0,roach,4
76,Salmon,Fish,Fish material,6,2,10,70,10,1,12,0,salmon,4
77,Sardine,Fish,Fish material,6,2,10,70,10,1,12,0,sardine,4
78,Shad,Fish,Fish material,6,2,10,70,10,1,12,0,shad,4
79,Silver Carp,Fish,Fish material,6,2,10,70,10,1,12,0,silvercarp,4
80,Sturgeon,Fish,Fish material,6,2,10,70,10,1,12,0,sturgeon,4
81,Sunfish,Fish,Fish material,6,2,10,70,10,1,12,0,sunfish,4
82,Walleye,Fish,Fish material,6,2,10,70,10,1,12,0,walleye,4
